1720573017.108625 server started (1673238): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1720573017.108675 on Linux 6.9.6-arch1-1 #1 SMP PREEMPT_DYNAMIC Fri, 21 Jun 2024 19:49:19 +0000
1720573017.108690 using libevent 2.1.12-stable poll
1720573017.108697 using ncurses 6.5 20240427
1720573017.134350 cmd_parse_build_commands 1:3: #{q:mouse_word}
1720573017.134353 args_parse_flags: next -q
1720573017.134356 args_parse_flags: -q
1720573017.134359 args_parse: flags end at 2 of 2
1720573017.134363 args_parse_flags: next -l
1720573017.134366 args_parse_flags: -l
1720573017.134369 args_parse_flags: next --
1720573017.134371 args_parse: flags end at 3 of 4
1720573017.134374 args_parse: 3 = #{q:mouse_word} (type STRING)
1720573017.134379 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_word}"
1720573017.134382 cmd_parse_build_commands 0:0: copy-mode
1720573017.134390 cmd_parse_build_commands 0:1: -q
1720573017.134393 cmd_parse_build_commands 1:0: set-buffer
1720573017.134396 cmd_parse_build_commands 1:1: --
1720573017.134399 cmd_parse_build_commands 1:2: #{q:mouse_word}
1720573017.134402 args_parse_flags: next -q
1720573017.134405 args_parse_flags: -q
1720573017.134408 args_parse: flags end at 2 of 2
1720573017.134412 args_parse_flags: next --
1720573017.134415 args_parse: flags end at 2 of 3
1720573017.134418 args_parse: 2 = #{q:mouse_word} (type STRING)
1720573017.134422 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_word}"
1720573017.134426 cmd_parse_build_commands 0:0: copy-mode
1720573017.134429 cmd_parse_build_commands 0:1: -q
1720573017.134432 cmd_parse_build_commands 1:0: set-buffer
1720573017.134434 cmd_parse_build_commands 1:1: --
1720573017.134437 cmd_parse_build_commands 1:2: #{q:mouse_line}
1720573017.134441 args_parse_flags: next -q
1720573017.134443 args_parse_flags: -q
1720573017.134446 args_parse: flags end at 2 of 2
1720573017.134450 args_parse_flags: next --
1720573017.134453 args_parse: flags end at 2 of 3
1720573017.134456 args_parse: 2 = #{q:mouse_line} (type STRING)
1720573017.134460 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_line}"
1720573017.134465 cmd_parse_build_commands 0:0: copy-mode
1720573017.134467 cmd_parse_build_commands 0:1: -q
1720573017.134470 cmd_parse_build_commands 1:0: send-keys
1720573017.134473 cmd_parse_build_commands 1:1: -l
1720573017.134476 cmd_parse_build_commands 1:2: --
1720573017.134479 cmd_parse_build_commands 1:3: #{q:mouse_hyperlink}
1720573017.134482 args_parse_flags: next -q
1720573017.134485 args_parse_flags: -q
1720573017.134488 args_parse: flags end at 2 of 2
1720573017.134492 args_parse_flags: next -l
1720573017.134494 args_parse_flags: -l
1720573017.134497 args_parse_flags: next --
1720573017.134500 args_parse: flags end at 3 of 4
1720573017.134503 args_parse: 3 = #{q:mouse_hyperlink} (type STRING)
1720573017.134508 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}"
1720573017.134512 cmd_parse_build_commands 0:0: copy-mode
1720573017.134515 cmd_parse_build_commands 0:1: -q
1720573017.134518 cmd_parse_build_commands 1:0: set-buffer
1720573017.134521 cmd_parse_build_commands 1:1: --
1720573017.134524 cmd_parse_build_commands 1:2: #{q:mouse_hyperlink}
1720573017.134527 args_parse_flags: next -q
1720573017.134530 args_parse_flags: -q
1720573017.134533 args_parse: flags end at 2 of 2
1720573017.134537 args_parse_flags: next --
1720573017.134540 args_parse: flags end at 2 of 3
1720573017.134543 args_parse: 2 = #{q:mouse_hyperlink} (type STRING)
1720573017.134548 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_hyperlink}"
1720573017.134552 cmd_parse_build_commands 0:0: split-window
1720573017.134555 cmd_parse_build_commands 0:1: -h
1720573017.134559 args_parse_flags: next -h
1720573017.134562 args_parse_flags: -h
1720573017.134565 args_parse: flags end at 2 of 2
1720573017.134568 cmd_parse_build_commands: split-window -h
1720573017.134572 cmd_parse_build_commands 0:0: split-window
1720573017.134575 cmd_parse_build_commands 0:1: -v
1720573017.134580 args_parse_flags: next -v
1720573017.134582 args_parse_flags: -v
1720573017.134585 args_parse: flags end at 2 of 2
1720573017.134589 cmd_parse_build_commands: split-window -v
1720573017.134593 cmd_parse_build_commands 0:0: swap-pane
1720573017.134596 cmd_parse_build_commands 0:1: -U
1720573017.134600 args_parse_flags: next -U
1720573017.134603 args_parse_flags: -U
1720573017.134606 args_parse: flags end at 2 of 2
1720573017.134609 cmd_parse_build_commands: swap-pane -U
1720573017.134613 cmd_parse_build_commands 0:0: swap-pane
1720573017.134616 cmd_parse_build_commands 0:1: -D
1720573017.134620 args_parse_flags: next -D
1720573017.134623 args_parse_flags: -D
1720573017.134626 args_parse: flags end at 2 of 2
1720573017.134629 cmd_parse_build_commands: swap-pane -D
1720573017.134633 cmd_parse_build_commands 0:0: swap-pane
1720573017.134637 args_parse: flags end at 1 of 1
1720573017.134650 cmd_parse_build_commands: swap-pane
1720573017.134654 cmd_parse_build_commands 0:0: kill-pane
1720573017.134658 args_parse: flags end at 1 of 1
1720573017.134661 cmd_parse_build_commands: kill-pane
1720573017.134665 cmd_parse_build_commands 0:0: respawn-pane
1720573017.134668 cmd_parse_build_commands 0:1: -k
1720573017.134672 args_parse_flags: next -k
1720573017.134675 args_parse_flags: -k
1720573017.134678 args_parse: flags end at 2 of 2
1720573017.134681 cmd_parse_build_commands: respawn-pane -k
1720573017.134685 cmd_parse_build_commands 0:0: select-pane
1720573017.134688 cmd_parse_build_commands 0:1: -m
1720573017.134692 args_parse_flags: next -m
1720573017.134695 args_parse_flags: -m
1720573017.134698 args_parse: flags end at 2 of 2
1720573017.134701 cmd_parse_build_commands: select-pane -m
1720573017.134705 cmd_parse_build_commands 0:0: resize-pane
1720573017.134708 cmd_parse_build_commands 0:1: -Z
1720573017.134712 args_parse_flags: next -Z
1720573017.134715 args_parse_flags: -Z
1720573017.134718 args_parse: flags end at 2 of 2
1720573017.134721 cmd_parse_build_commands: resize-pane -Z
1720573017.134724 args_parse_flags: next -t=
1720573017.134727 args_parse_flag_argument: -t = =
1720573017.134730 args_parse_flags: next -xM
1720573017.134733 args_parse_flag_argument: -x = M
1720573017.134736 args_parse_flags: next -yM
1720573017.134739 args_parse_flag_argument: -y = M
1720573017.134741 args_parse_flags: next -T
1720573017.134745 args_parse_flag_argument: -T = #[align=centre]#{pane_index} (#{pane_id})
1720573017.134748 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1720573017.134751 args_parse: flags end at 6 of 62
1720573017.134755 args_parse: 6 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,} (type STRING)
1720573017.134758 args_parse: 7 = < (type STRING)
1720573017.134763 args_parse: 8 = send-keys -X history-top (type COMMANDS)
1720573017.134766 args_parse: 9 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,} (type STRING)
1720573017.134769 args_parse: 10 = > (type STRING)
1720573017.134773 args_parse: 11 = send-keys -X history-bottom (type COMMANDS)
1720573017.134776 args_parse: 12 =  (type STRING)
1720573017.134780 args_parse: 13 = #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},} (type STRING)
1720573017.134783 args_parse: 14 = C-r (type STRING)
1720573017.134794 args_parse: 15 = if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" (type COMMANDS)
1720573017.134798 args_parse: 16 = #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},} (type STRING)
1720573017.134801 args_parse: 17 = C-y (type STRING)
1720573017.134808 args_parse: 18 = copy-mode -q ; send-keys -l "#{q:mouse_word}" (type COMMANDS)
1720573017.134812 args_parse: 19 = #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},} (type STRING)
1720573017.134815 args_parse: 20 = c (type STRING)
1720573017.134820 args_parse: 21 = copy-mode -q ; set-buffer "#{q:mouse_word}" (type COMMANDS)
1720573017.134823 args_parse: 22 = #{?mouse_line,Copy Line,} (type STRING)
1720573017.134826 args_parse: 23 = l (type STRING)
1720573017.134831 args_parse: 24 = copy-mode -q ; set-buffer "#{q:mouse_line}" (type COMMANDS)
1720573017.134834 args_parse: 25 =  (type STRING)
1720573017.134837 args_parse: 26 = #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1720573017.134840 args_parse: 27 = C-h (type STRING)
1720573017.134845 args_parse: 28 = copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" (type COMMANDS)
1720573017.134849 args_parse: 29 = #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1720573017.134852 args_parse: 30 = h (type STRING)
1720573017.134856 args_parse: 31 = copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" (type COMMANDS)
1720573017.134860 args_parse: 32 =  (type STRING)
1720573017.134863 args_parse: 33 = Horizontal Split (type STRING)
1720573017.134866 args_parse: 34 = h (type STRING)
1720573017.134870 args_parse: 35 = split-window -h (type COMMANDS)
1720573017.134879 args_parse: 36 = Vertical Split (type STRING)
1720573017.134882 args_parse: 37 = v (type STRING)
1720573017.134886 args_parse: 38 = split-window -v (type COMMANDS)
1720573017.134889 args_parse: 39 =  (type STRING)
1720573017.134893 args_parse: 40 = #{?#{>:#{window_panes},1},,-}Swap Up (type STRING)
1720573017.134896 args_parse: 41 = u (type STRING)
1720573017.134900 args_parse: 42 = swap-pane -U (type COMMANDS)
1720573017.134903 args_parse: 43 = #{?#{>:#{window_panes},1},,-}Swap Down (type STRING)
1720573017.134907 args_parse: 44 = d (type STRING)
1720573017.134910 args_parse: 45 = swap-pane -D (type COMMANDS)
1720573017.134914 args_parse: 46 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1720573017.134917 args_parse: 47 = s (type STRING)
1720573017.134920 args_parse: 48 = swap-pane (type COMMANDS)
1720573017.134924 args_parse: 49 =  (type STRING)
1720573017.134927 args_parse: 50 = Kill (type STRING)
1720573017.134930 args_parse: 51 = X (type STRING)
1720573017.134933 args_parse: 52 = kill-pane (type COMMANDS)
1720573017.134937 args_parse: 53 = Respawn (type STRING)
1720573017.134940 args_parse: 54 = R (type STRING)
1720573017.134944 args_parse: 55 = respawn-pane -k (type COMMANDS)
1720573017.134947 args_parse: 56 = #{?pane_marked,Unmark,Mark} (type STRING)
1720573017.134950 args_parse: 57 = m (type STRING)
1720573017.134957 args_parse: 58 = select-pane -m (type COMMANDS)
1720573017.134961 args_parse: 59 = #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom} (type STRING)
1720573017.134964 args_parse: 60 = z (type STRING)
1720573017.134968 args_parse: 61 = resize-pane -Z (type COMMANDS)
1720573017.135030 cmd_parse_build_commands: display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z }
1720573017.135035 args_parse_flags: next -n
1720573017.135038 args_parse_flags: -n
1720573017.135040 args_parse_flags: next M-MouseDown3Pane
1720573017.135043 args_parse: flags end at 2 of 4
1720573017.135046 args_parse: 2 = M-MouseDown3Pane (type STRING)
1720573017.135106 args_parse: 3 = display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } (type COMMANDS)
1720573017.135172 cmd_parse_build_commands: bind-key -n M-MouseDown3Pane { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } }
1720573017.135181 cmdq_get_command: [bind-key/0x630cc891e4c0] group 1209
1720573017.135184 cmdq_append <global>: [bind-key/0x630cc891e4c0]
1720573017.135187 yylex_token: end at WS
1720573017.135190 yylex_token: bind
1720573017.135193 yylex_token: end at WS
1720573017.135195 yylex_token: -Tcopy-mode
1720573017.135198 yylex_token: end at WS
1720573017.135201 yylex_token: C-Space
1720573017.135204 yylex_token: end at WS
1720573017.135207 yylex_token: send
1720573017.135209 yylex_token: end at WS
1720573017.135212 yylex_token: -X
1720573017.135215 yylex_token: end at WS
1720573017.135218 yylex_token: begin-selection
1720573017.135221 cmd_parse_build_commands 0:0: bind
1720573017.135224 cmd_parse_build_commands 0:1: -Tcopy-mode
1720573017.135227 cmd_parse_build_commands 0:2: C-Space
1720573017.135230 cmd_parse_build_commands 0:3 0:0: send
1720573017.135233 cmd_parse_build_commands 0:3 0:1: -X
1720573017.135236 cmd_parse_build_commands 0:3 0:2: begin-selection
1720573017.135240 cmd_parse_build_commands 0:0: send
1720573017.135243 cmd_parse_build_commands 0:1: -X
1720573017.135246 cmd_parse_build_commands 0:2: begin-selection
1720573017.135250 args_parse_flags: next -X
1720573017.135252 args_parse_flags: -X
1720573017.135255 args_parse_flags: next begin-selection
1720573017.135258 args_parse: flags end at 2 of 3
1720573017.135261 args_parse: 2 = begin-selection (type STRING)
1720573017.135265 cmd_parse_build_commands: send-keys -X begin-selection
1720573017.135269 args_parse_flags: next -Tcopy-mode
1720573017.135272 args_parse_flag_argument: -T = copy-mode
1720573017.135274 args_parse_flags: next C-Space
1720573017.135277 args_parse: flags end at 2 of 4
1720573017.135280 args_parse: 2 = C-Space (type STRING)
1720573017.135285 args_parse: 3 = send-keys -X begin-selection (type COMMANDS)
1720573017.135302 cmd_parse_build_commands: bind-key -T copy-mode C-Space { send-keys -X begin-selection }
1720573017.135306 cmdq_get_command: [bind-key/0x630cc8926df0] group 1291
1720573017.135309 cmdq_append <global>: [bind-key/0x630cc8926df0]
1720573017.135312 yylex_token: end at WS
1720573017.135315 yylex_token: bind
1720573017.135318 yylex_token: end at WS
1720573017.135321 yylex_token: -Tcopy-mode
1720573017.135323 yylex_token: end at WS
1720573017.135326 yylex_token: C-a
1720573017.135329 yylex_token: end at WS
1720573017.135331 yylex_token: send
1720573017.135334 yylex_token: end at WS
1720573017.135337 yylex_token: -X
1720573017.135340 yylex_token: end at WS
1720573017.135343 yylex_token: start-of-line
1720573017.135346 cmd_parse_build_commands 0:0: bind
1720573017.135349 cmd_parse_build_commands 0:1: -Tcopy-mode
1720573017.135352 cmd_parse_build_commands 0:2: C-a
1720573017.135355 cmd_parse_build_commands 0:3 0:0: send
1720573017.135357 cmd_parse_build_commands 0:3 0:1: -X
1720573017.135360 cmd_parse_build_commands 0:3 0:2: start-of-line
1720573017.135364 cmd_parse_build_commands 0:0: send
1720573017.135367 cmd_parse_build_commands 0:1: -X
1720573017.135369 cmd_parse_build_commands 0:2: start-of-line
1720573017.135373 args_parse_flags: next -X
1720573017.135376 args_parse_flags: -X
1720573017.135379 args_parse_flags: next start-of-line
1720573017.135382 args_parse: flags end at 2 of 3
1720573017.135385 args_parse: 2 = start-of-line (type STRING)
1720573017.135389 cmd_parse_build_commands: send-keys -X start-of-line
1720573017.135392 args_parse_flags: next -Tcopy-mode
1720573017.135395 args_parse_flag_argument: -T = copy-mode
1720573017.135398 args_parse_flags: next C-a
1720573017.135401 args_parse: flags end at 2 of 4
1720573017.135403 args_parse: 2 = C-a (type STRING)
1720573017.135407 args_parse: 3 = send-keys -X start-of-line (type COMMANDS)
1720573017.135413 cmd_parse_build_commands: bind-key -T copy-mode C-a { send-keys -X start-of-line }
1720573017.135417 cmdq_get_command: [bind-key/0x630cc8910430] group 1299
1720573017.135420 cmdq_append <global>: [bind-key/0x630cc8910430]
1720573017.135423 yylex_token: end at WS
1720573017.135425 yylex_token: bind
1720573017.135428 yylex_token: end at WS
1720573017.135431 yylex_token: -Tcopy-mode
1720573017.135434 yylex_token: end at WS
1720573017.135437 yylex_token: C-c
1720573017.135439 yylex_token: end at WS
1720573017.135442 yylex_token: send
1720573017.135445 yylex_token: end at WS
1720573017.135447 yylex_token: -X
1720573017.135450 yylex_token: end at WS
1720573017.135453 yylex_token: cancel
1720573017.135456 cmd_parse_build_commands 0:0: bind
1720573017.135459 cmd_parse_build_commands 0:1: -Tcopy-mode
1720573017.135462 cmd_parse_build_commands 0:2: C-c
1720573017.135465 cmd_parse_build_commands 0:3 0:0: send
1720573017.135468 cmd_parse_build_commands 0:3 0:1: -X
1720573017.135471 cmd_parse_build_commands 0:3 0:2: cancel
1720573017.135474 cmd_parse_build_commands 0:0: send
1720573017.135477 cmd_parse_build_commands 0:1: -X
1720573017.135480 cmd_parse_build_commands 0:2: cancel
1720573017.135484 args_parse_flags: next -X
1720573017.135486 args_parse_flags: -X
1720573017.135489 args_parse_flags: next cancel
1720573017.135492 args_parse: flags end at 2 of 3
1720573017.135495 args_parse: 2 = cancel (type STRING)
1720573017.135499 cmd_parse_build_commands: send-keys -X cancel
1720573017.135502 args_parse_flags: next -Tcopy-mode
1720573017.135505 args_parse_flag_argument: -T = copy-mode
1720573017.135508 args_parse_flags: next C-c
1720573017.135510 args_parse: flags end at 2 of 4
1720573017.135513 args_parse: 2 = C-c (type STRING)
1720573017.135517 args_parse: 3 = send-keys -X cancel (type COMMANDS)
1720573017.135522 cmd_parse_build_commands: bind-key -T copy-mode C-c { send-keys -X cancel }
1720573017.135526 cmdq_get_command: [bind-key/0x630cc890f390] group 1307
1720573017.135529 cmdq_append <global>: [bind-key/0x630cc890f390]
1720573017.135532 yylex_token: end at WS
1720573017.135535 yylex_token: bind
1720573017.135543 yylex_token: end at WS
1720573017.135545 yylex_token: -Tcopy-mode
1720573017.135548 yylex_token: end at WS
1720573017.135551 yylex_token: C-e
1720573017.135554 yylex_token: end at WS
1720573017.135556 yylex_token: send
1720573017.135559 yylex_token: end at WS
1720573017.135562 yylex_token: -X
1720573017.135565 yylex_token: end at WS
1720573017.135567 yylex_token: end-of-line
1720573017.135571 cmd_parse_build_commands 0:0: bind
1720573017.135573 cmd_parse_build_commands 0:1: -Tcopy-mode
1720573017.135576 cmd_parse_build_commands 0:2: C-e
1720573017.135579 cmd_parse_build_commands 0:3 0:0: send
1720573017.135582 cmd_parse_build_commands 0:3 0:1: -X
1720573017.135585 cmd_parse_build_commands 0:3 0:2: end-of-line
1720573017.135589 cmd_parse_build_commands 0:0: send
1720573017.135591 cmd_parse_build_commands 0:1: -X
1720573017.135594 cmd_parse_build_commands 0:2: end-of-line
1720573017.135598 args_parse_flags: next -X
1720573017.135601 args_parse_flags: -X
1720573017.135604 args_parse_flags: next end-of-line
1720573017.135607 args_parse: flags end at 2 of 3
1720573017.135610 args_parse: 2 = end-of-line (type STRING)
1720573017.135614 cmd_parse_build_commands: send-keys -X end-of-line
1720573017.135617 args_parse_flags: next -Tcopy-mode
1720573017.135620 args_parse_flag_argument: -T = copy-mode
1720573017.135623 args_parse_flags: next C-e
1720573017.135625 args_parse: flags end at 2 of 4
1720573017.135628 args_parse: 2 = C-e (type STRING)
1720573017.135632 args_parse: 3 = send-keys -X end-of-line (type COMMANDS)
1720573017.135638 cmd_parse_build_commands: bind-key -T copy-mode C-e { send-keys -X end-of-line }
1720573017.135642 cmdq_get_command: [bind-key/0x630cc8927c70] group 1315
1720573017.135645 cmdq_append <global>: [bind-key/0x630cc8927c70]
1720573017.135647 yylex_token: end at WS
1720573017.135650 yylex_token: bind
1720573017.135653 yylex_token: end at WS
1720573017.135656 yylex_token: -Tcopy-mode
1720573017.135659 yylex_token: end at WS
1720573017.135661 yylex_token: C-f
1720573017.135664 yylex_token: end at WS
1720573017.135667 yylex_token: send
1720573017.135669 yylex_token: end at WS
1720573017.135672 yylex_token: -X
1720573017.135675 yylex_token: end at WS
1720573017.135678 yylex_token: cursor-right
1720573017.135681 cmd_parse_build_commands 0:0: bind
1720573017.135684 cmd_parse_build_commands 0:1: -Tcopy-mode
1720573017.135687 cmd_parse_build_commands 0:2: C-f
1720573017.135690 cmd_parse_build_commands 0:3 0:0: send
1720573017.135693 cmd_parse_build_commands 0:3 0:1: -X
1720573017.135696 cmd_parse_build_commands 0:3 0:2: cursor-right
1720573017.135699 cmd_parse_build_commands 0:0: send
1720573017.135702 cmd_parse_build_commands 0:1: -X
1720573017.135705 cmd_parse_build_commands 0:2: cursor-right
1720573017.135709 args_parse_flags: next -X
1720573017.135712 args_parse_flags: -X
1720573017.135714 args_parse_flags: next cursor-right
1720573017.135717 args_parse: flags end at 2 of 3
1720573017.135720 args_parse: 2 = cursor-right (type STRING)
1720573017.135724 cmd_parse_build_commands: send-keys -X cursor-right
1720573017.135727 args_parse_flags: next -Tcopy-mode
1720573017.135730 args_parse_flag_argument: -T = copy-mode
1720573017.135733 args_parse_flags: next C-f
1720573017.135736 args_parse: flags end at 2 of 4
1720573017.135739 args_parse: 2 = C-f (type STRING)
1720573017.135743 args_parse: 3 = send-keys -X cursor-right (type COMMANDS)
1720573017.135748 cmd_parse_build_commands: bind-key -T copy-mode C-f { send-keys -X cursor-right }
1720573017.135752 cmdq_get_command: [bind-key/0x630cc892a850] group 1323
1720573017.135755 cmdq_append <global>: [bind-key/0x630cc892a850]
1720573017.135758 yylex_token: end at WS
1720573017.135760 yylex_token: bind
1720573017.135763 yylex_token: end at WS
1720573017.135766 yylex_token: -Tcopy-mode
1720573017.135769 yylex_token: end at WS
1720573017.135771 yylex_token: C-b
1720573017.135775 yylex_token: end at WS
1720573017.135779 yylex_token: send
1720573017.135783 yylex_token: end at WS
1720573017.135787 yylex_token: -X
1720573017.135791 yylex_token: end at WS
1720573017.135795 yylex_token: cursor-left
1720573017.135806 cmd_parse_build_commands 0:0: bind
1720573017.135810 cmd_parse_build_commands 0:1: -Tcopy-mode
1720573017.135814 cmd_parse_build_commands 0:2: C-b
1720573017.135818 cmd_parse_build_commands 0:3 0:0: send
1720573017.135822 cmd_parse_build_commands 0:3 0:1: -X
1720573017.135826 cmd_parse_build_commands 0:3 0:2: cursor-left
1720573017.135830 cmd_parse_build_commands 0:0: send
1720573017.135834 cmd_parse_build_commands 0:1: -X
1720573017.135839 cmd_parse_build_commands 0:2: cursor-left
1720573017.135845 args_parse_flags: next -X
1720573017.135848 args_parse_flags: -X
1720573017.135852 args_parse_flags: next cursor-left
1720573017.135857 args_parse: flags end at 2 of 3
1720573017.135861 args_parse: 2 = cursor-left (type STRING)
1720573017.135871 cmd_parse_build_commands: send-keys -X cursor-left
1720573017.135876 args_parse_flags: next -Tcopy-mode
1720573017.135881 args_parse_flag_argument: -T = copy-mode
1720573017.135885 args_parse_flags: next C-b
1720573017.135889 args_parse: flags end at 2 of 4
1720573017.135894 args_parse: 2 = C-b (type STRING)
1720573017.135900 args_parse: 3 = send-keys -X cursor-left (type COMMANDS)
1720573017.135910 cmd_parse_build_commands: bind-key -T copy-mode C-b { send-keys -X cursor-left }
1720573017.135915 cmdq_get_command: [bind-key/0x630cc8917590] group 1331
1720573017.135920 cmdq_append <global>: [bind-key/0x630cc8917590]
1720573017.135927 yylex_token: end at WS
1720573017.135929 yylex_token: bind
1720573017.135933 yylex_token: end at WS
1720573017.135936 yylex_token: -Tcopy-mode
1720573017.135940 yylex_token: end at WS
1720573017.135943 yylex_token: C-g
1720573017.135946 yylex_token: end at WS
1720573017.135949 yylex_token: send
1720573017.135951 yylex_token: end at WS
1720573017.135954 yylex_token: -X
